"perc_positive_NB_NG_cool","perc_positive_private_NG_cool","perc_positive_NB_NG_nocool","perc_positive_private_NG_nocool","perc_positive_NB_P_cool","perc_positive_private_P_cool","perc_positive_NB_P_nocool","perc_positive_private_P_nocool","perc_positive_NB_HO_cool","perc_positive_private_HO_cool","perc_positive_NB_HO_nocool","perc_positive_private_HO_nocool","perc_positive_NB_ElecRes_cool","perc_positive_private_ElecRes_cool","perc_positive_NB_ElecRes_nocool","perc_positive_private_ElecRes_nocool","perc_positive_NB_wood_cool","perc_positive_private_wood_cool","perc_positive_NB_wood_nocool","perc_positive_private_wood_nocool","perc_households_NG","perc_households_P","perc_households_HO","perc_households_ElecRes","perc_households_wood","perc_positiveNB_cool","perc_positivePrivate_cool","perc_positiveNB_nocool","perc_positivePrivate_nocool","NAME","FIPS","x","y"
0.252,0.029,0,0,1,1,0.925,0.877,1,0.988,0.866,0.861,1,1,1,1,0,1,0,1,0.604936155626018,0.15342645756563,0.0249950009998,0.165366926614677,0.0313365898248922,0.496232296397863,0.392368183506156,0.328932070728711,0.352779215585454,"Dodge County",55027,-88.88562598,43.42072693
0.002,0.002,0,0,1,1,0.863,0.829,0.911,0.885,0.503,0.162,1,1,1,1,0,1,0,0.791,0.401909858859332,0.316333490739283,0.0230862059919198,0.15331339524634,0.0859436486699197,0.491482239361981,0.576825646676111,0.437921559368277,0.487275250537804,"Barron County",55005,-92.12098623,45.21664329
0.15,0.02,0,0,1,1,0.902,0.891,1,0.961,0.823,0.494,1,1,1,1,0,1,0,1,0.446435506241331,0.236005547850208,0.0312898751733703,0.165825242718447,0.0988072122052705,0.500085991678225,0.539636282940361,0.404453814147018,0.490370596393897,"Monroe County",55081,-90.83665676,44.12220979
0.283,0.033,0,0,1,1,0.902,0.901,1,0.98,0.879,0.632,1,1,1,1,0,1,0,1,0.512055624088819,0.19834772531868,0.0240738663975179,0.188030354005458,0.0657545512317297,0.555363687338791,0.492622855220366,0.388100930806325,0.447710889312549,"Sauk County",55111,-89.75614135,43.50201289
0.003,0,0,0,1,1,0.889,0.867,0.939,0.893,0.755,0.295,1,1,1,1,0,1,0,1,0.760631532378477,0.041917823370016,0.0202400044240447,0.157495990709506,0.00638721451086656,0.220701072830836,0.223875352541061,0.210042139025604,0.20619675938727,"Ozaukee County",55089,-87.95080032,43.38437657
0.044,0.002,0,0,1,1,0.867,0.828,0.991,0.916,0.53,0.169,1,1,1,1,0,1,0,0.981,0.446161021395674,0.285139625721448,0.0471637614411473,0.0823179618725587,0.117588759983676,0.433827960123594,0.529140675100566,0.354530810936862,0.441738821197458,"Shawano County",55115,-88.76619729,44.84412621
0.072,0.006,0,0,1,1,0.878,0.869,0.992,0.914,0.789,0.434,1,1,1,1,0,1,0,1,0.471718970705644,0.313885647607935,0.0256095314131303,0.0802063501811705,0.0824172449794264,0.453460418841737,0.502746668304367,0.376003869065897,0.446504759565191,"Oconto County",55083,-88.14584606,44.87615551
0.006,0,0,0,1,1,0.877,0.855,0.934,0.887,0.654,0.271,1,1,1,1,0,1,0,0.951,0.401909858859332,0.316333490739283,0.0230862059919198,0.15331339524634,0.0859436486699197,0.493620861535233,0.576067999370376,0.445836245343407,0.511767301537331,"Barron County",55005,-91.91001551,45.38923485
0.326,0.06,0,0,1,1,0.899,0.894,1,0.99,0.888,0.739,1,1,1,1,0,1,0,1,0.728677217946856,0.121097720342675,0.0189632641208073,0.08317119210106,0.0341222593291709,0.460780949615217,0.300885436329316,0.208877421228401,0.239568665601859,"Manitowoc County",55071,-87.90957249,44.08111601
0.004,0,0,0,1,1,0.884,0.844,0.95,0.901,0.527,0.161,1,1,1,1,0,1,0,0.962,0.728677217946856,0.121097720342675,0.0189632641208073,0.08317119210106,0.0341222593291709,0.225198722230289,0.255477072745753,0.20021521707565,0.22125636706839,"Manitowoc County",55071,-87.7839322,43.92650035
