"zipcode","totalcost_low","totalcost_high","systemcost_low","systemcost_high","laborcost_low","laborcost_high","jobsupplycost_low","jobsupplycost_high","ton","SEER"
53716,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53717,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53718,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53719,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53726,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53774,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53777,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53782,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53783,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53784,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53785,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53786,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53788,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53790,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53791,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53792,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53793,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53794,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53801,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53803,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53804,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53805,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53806,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53807,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53809,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53810,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53811,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53813,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53816,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53818,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53820,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53821,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53825,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53826,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53901,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53910,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53911,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53913,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53916,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53919,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53920,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
