"zipcode","totalcost_low","totalcost_high","systemcost_low","systemcost_high","laborcost_low","laborcost_high","jobsupplycost_low","jobsupplycost_high","ton","SEER"
53718,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53719,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53726,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53774,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53777,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53782,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53783,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53784,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53785,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53786,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53788,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53790,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53791,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53792,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53793,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53794,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53801,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53803,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53804,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53805,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53806,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53807,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53809,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53810,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53811,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53813,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53816,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53818,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53820,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53821,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53825,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53826,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53901,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53910,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53911,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53913,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53916,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53919,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53920,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53922,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53923,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53923,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53924,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53925,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53926,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
